score_raw,score
0.086391,0.41488167092445466
0.070886,0.37860859230977983
-0.024348,0.1558139861317762
0.03168,0.2868883523764072
0.148724,0.5607062313429344
0.084347,0.4100998474682538
0.336501,1.0
0.015036,0.2479506470901996
0.052693,0.3360470883280462
-0.024686,0.15502325407297193
0.070539,0.377796805255327
0.163859,0.5961137156920543
0.108423,0.46642430027231124
0.008499,0.23265770191740828
0.16095,0.5893082732096236
-0.084615,0.01482271693663852
0.118559,0.49013690426059536
0.00166,0.21665824466840722
-0.056015,0.08173081422007618
-0.090951,0.0
0.071209,0.3793642327091697
